180****1683,"""862679038018071"""
180****2054,"""A000002Cfe1c25"""
153****7466,"""A000007514F2EC"""
189****8855,0
180****0470,"""A100000D1cfa85"""
199****9546,"""869677032109287"""
177****4418,"""A000008D343B31"""
153****1895,"""863339034022432"""
189****4259,"""868231034663445"""
153****0707,"""99000763424513"""
133****0370,0
181****3749,"""869200030989293"""
181****8813,"""99001145439294"""
133****5674,0
189****1365,"""A0000070CCF42E"""
177****1222,0
177****8688,"""865579036733886"""
133****0622,"""867635033252557"""
133****2502,"""862503036624500"""
180****4577,"""99001026682970"""
199****8186,"""862096036613532"""
180****2762,"""867392030248226"""
180****8767,"""A000008A4FB99F"""
152****4000,"""A10000586A8DD0"""
173****0416,"""862400049261455"""
177****8036,"""A100005A486E7B"""
189****2306,"""a0000055091a6d"""
153****1502,"""a000004fdd8721"""
173****2434,"""868947033880157"""
189****3933,0
173****8593,"""A1000041FD5AF5"""
133****4901,"""861322034407755"""
181****2987,0
199****9152,"""A01155481688663"""
153****3664,"""860076037419834"""
180****0203,"""866445035250414"""
133****6855,"""358520080522555"""
189****9199,"""868990042953482"""
189****9877,0
177****7039,"""864278032412600"""
189****0908,"""864288034288098"""
177****6887,0
180****6520,"""863687049027865"""
153****0950,"""A0000070C9050F"""
133****3805,"""99000549246653"""
180****5370,"""861065032308687"""
173****5060,0
189****9036,"""99000833474721"""
133****6150,"""A000007246F332"""
153****6509,0
173****5069,"""866171035251174"""
181****4466,0
136****3051,"""866198038153412"""
153****6567,"""869234035200018"""
180****8500,"""99001235809089"""
153****6687,"""866376035036919"""
189****3013,0
189****5997,"""a00000595995a8"""
199****0240,0
170****5387,"""866624032998080"""
189****7337,"""862791033255887"""
139****8096,"""868427033488624"""
133****9882,0
180****3316,0
153****2272,"""A1000048005029"""
159****8101,"""863701031139784"""
180****2758,"""A0000087CA7EAE"""
153****5208,"""99000714259680"""
153****4052,0
189****5773,"""867362045059868"""
180****2025,"""A0000071F701F6"""
180****2714,"""a000005516e6e4"""
153****1605,"""866572032583677"""
177****8386,"""861271042084074"""
180****1016,0
133****9085,"""860303044852710"""
181****6441,"""869874032514265"""
133****5562,"""862756030918928"""
173****6355,"""865364038727313"""
177****7966,0
173****4588,0
153****0951,"""863254038658828"""
133****5589,"""A0000088E17D02"""
180****6312,0
189****0899,"""A00000455A1C86"""
139****1014,"""869014034260050"""
189****7829,"""861138040832798"""
177****6695,"""869096036523023"""
180****2500,"""863696036654664"""
133****5865,"""867392030562188"""
177****6995,"""A0000087A75E84"""
180****8857,"""864326034331151"""
176****5097,0
133****7711,"""A0000072B229A4"""
181****6888,"""869496039520457"""
133****0189,"""99001123686634"""
173****5108,"""A0000070B6A043"""
133****9356,0
177****0708,"""99000764143720"""
181****6204,0
133****1033,"""864552032279536"""
153****3637,"""863046036560398"""
189****3627,0
133****7837,0
153****7092,"""A00000735BFF30"""
185****4165,"""867910031869839"""
181****7697,"""A100004E463EB6"""
181****4227,"""866265035233479"""
153****0270,"""861907030446920"""
189****2993,"""865227033133813"""
182****8224,"""868427034857918"""
180****2260,"""862526032691116"""
189****6055,0
133****1801,0
181****1361,"""866938033544457"""
189****2290,"""864313037636711"""
173****3850,"""863845037084690"""
153****9131,"""99001080881451"""
180****5749,0
133****8865,"""869071034285495"""
177****9572,"""869698034825696"""
177****6698,"""A0000071C05ACA"""
181****6685,"""99000761325508"""
139****2135,0
133****1338,"""a000004fbed842"""
177****7637,"""865873039227925"""
181****9531,"""868600037307020"""
180****2843,"""354268096154591"""
180****9819,"""869818027738967"""
189****6126,"""357107071053476"""
153****6117,"""A100005132881D"""
133****1740,"""866792036437932"""
177****6087,"""867674036699779"""
133****2383,"""868394038725634"""
181****4343,"""A0000061E32EC4"""
189****8759,"""866568031312613"""
189****0128,"""A0000056B83F0A"""
189****3997,0
180****1352,"""862853031027674"""
133****8131,0
177****3717,"""99000739134113"""
180****0991,"""867898030571995"""
189****9868,"""864248035582766"""
180****0008,0
177****2765,0
139****6753,0
153****3991,0
180****1322,"""862209033742150"""
137****4774,"""99001084538744"""
153****1152,"""866089032726255"""
153****1688,0
180****8921,"""A10000543B7020"""
189****9989,0
181****2076,"""867234036908900"""
177****0667,"""864550030436660"""
182****5144,"""864416031370532"""
181****7889,"""866205040333260"""
173****0989,0
135****1081,"""99000812611368"""
130****8766,0
199****3815,"""A000008763F492"""
173****5554,"""864240033151355"""
199****8176,0
153****8253,"""A00000724876AF"""
181****9501,"""99001012534013"""
181****2991,"""A000005E902068"""
177****2029,"""862632031526459"""
189****3988,0
189****7152,"""A100004E09F31A"""
173****5602,"""869622031235154"""
173****7609,"""99001235684010"""
189****7779,"""A000008A352C9F"""
180****2090,"""99000942169287"""
153****7178,0
181****7577,"""868794031782534"""
189****8698,"""A000007402965F"""
133****6996,"""869949025238070"""
180****5205,"""869705033411657"""
189****0257,"""865709037841004"""
131****3198,"""860482038517800"""
181****6099,"""867899021595779"""
133****2627,"""863791034981381"""
180****0397,"""99000695056526"""
133****6218,0
199****1175,"""866874031029466"""
180****6186,"""A000007238190E"""
180****0638,"""863968040488482"""
153****6940,"""861078034891766"""
189****6667,"""865970030885659"""
189****6193,"""863968040536926"""
159****8226,"""866067037424696"""
181****5859,"""865873032862082"""
153****9700,"""A000007418355F"""
133****7607,"""A000008958EA50"""
180****7188,"""867316049675459"""
180****4466,"""860729031083986"""
173****0709,"""868738030957258"""
133****6338,0
180****8246,"""868859044231892"""
177****1717,"""866016038280276"""
180****2055,"""865969034173120"""
189****3037,"""865852044144465"""
153****9274,"""865747032501777"""
180****6063,"""864022039592406"""
181****6053,0
180****8011,"""868889049913814"""
133****9958,"""865763036192646"""
180****3031,0
133****4320,"""864232031718319"""
133****2682,"""A100005636D62F"""
189****8108,"""865861045981338"""
183****6466,0
173****3820,"""865376034098424"""
177****1605,"""A1000055ACE245"""
177****2999,"""866147046934891"""
182****4080,"""A00000715C50A0"""
189****3777,"""869455031516962"""
180****1198,"""865902037507937"""
189****8357,"""866716031784246"""
180****3280,"""867536032107786"""
133****9278,0
133****3301,"""862058045084683"""
180****0388,"""861533035128675"""
177****1628,"""864426031608690"""
139****8939,"""867442035858352"""
152****8370,"""A000007526E18E"""
173****3173,"""990008690164087"""
133****8804,"""A1000052B5AAB1"""
133****6350,"""A0000070E9311D"""
189****5692,"""867899031413237"""
153****5202,"""869479035761077"""
189****8178,"""869171035323095"""
189****2811,0
133****9159,"""866321036407768"""
181****7213,"""867540033303923"""
189****8455,0
180****9730,"""866636030505022"""
181****4689,"""86671403165799"""
150****4830,"""868392032020705"""
133****1409,0
177****6977,"""868577030461824"""
153****6652,0
189****4371,"""864883033161617"""
133****9696,"""A1000055AA6B97"""
153****7286,"""862609039945097"""
181****4236,"""99001023274578"""
133****3335,"""869464035293693"""
173****1621,"""A0000061C29809"""
139****3270,"""862061036132578"""
180****6362,"""862689036812425"""
180****3265,"""A0000074EED1D8"""
189****2499,"""a000005928cb9a"""
177****2027,"""868648037458582"""
181****1805,0
189****0873,"""99000966263079"""
189****9139,"""869157024995787"""
133****8635,"""99000913132917"""
181****2832,"""A0000056AA0843"""
180****3316,"""99000706302814"""
181****1921,"""866150036213938"""
181****8966,"""354039071527535"""
181****0013,"""865866031103243"""
153****4851,"""862858033362045"""
153****2480,"""869874037005145"""
181****8909,"""868407039813496"""
151****2912,"""866489035515699"""
133****4125,"""865830031472099"""
189****8868,0
153****6284,"""868973042559277"""
189****2255,"""A0000088B2B8A5"""
139****3068,"""863716030282559"""
199****4362,"""A1000013a203e2"""
133****1183,"""869979034558283"""
173****8568,"""867537036289273"""
180****1897,"""868394032984179"""
180****9912,0
180****7065,"""862820032063305"""
151****4689,"""867477038626117"""
189****1030,0
136****5445,"""864372035677663"""
177****0009,"""862505033397089"""
189****0640,"""A0000087664C36"""
153****2231,"""865861046679956"""
181****0810,"""869874035431038"""
177****9688,"""867701039083154"""
181****4681,"""867772031793595"""
180****8135,"""869552023723513"""
181****3010,"""352562075845431"""
180****0447,"""867993024550798"""
177****0581,"""A1000051525641"""
181****8532,0
153****4158,"""867881030458108"""
180****6669,"""867477030351938"""
152****4611,"""A00000737ACC93"""
181****1516,"""867174034502869"""
173****6106,"""860666047009094"""
180****8704,"""A0000063DBD8C0"""
153****1110,"""864458031873222"""
189****3225,"""866090036359929"""
180****3099,"""869902048806217"""
153****1103,"""861006030869569"""
177****9302,"""863447038699814"""
189****7636,"""869494036565393"""
189****1256,"""866413033866607"""
133****0778,"""862949034412697"""
155****7772,0
188****7606,"""865861044522232"""
181****1956,"""A000005681E825"""
133****0386,"""869456033859434"""
139****0819,"""860735037517034"""
133****6689,"""864905032356300"""
181****7400,"""861545037252196"""
177****7862,0
189****3242,"""866318037179677"""
199****9937,"""860121037893594"""
199****3050,"""861110037781569"""
153****5263,"""862855042700280"""
189****3721,"""867779031088629"""
181****1778,0
153****6896,0
181****2398,"""863976045109938"""
180****8883,"""A0000070F055BF"""
139****8583,0
180****9237,0
177****9301,"""862980033750126"""
189****7209,"""99001008489681"""
180****5829,"""865031032221912"""
150****5071,0
177****0821,0
177****3370,"""A000008A99AB11"""
153****9274,"""863777031324121"""
189****0530,"""A0000088141FD5"""
173****8399,"""862249032010761"""
189****0791,"""99000946794689"""
189****5586,"""A100005569D6FF"""
180****2950,"""A10000549B9E0C"""
133****0145,"""860596036207617"""
158****8598,"""861675045502504"""
177****5848,"""867665045478783"""
138****3553,"""864229033927633"""
177****2955,"""866202041904041"""
189****7916,"""862767032391238"""
181****6862,"""866369035645375"""
181****2060,"""864178032662131"""
133****2340,0
180****0819,"""864083038594058"""
189****9948,"""866375041627224"""
181****4445,"""A00000707EE312"""
153****7838,"""359274073210955"""
189****1961,0
180****9685,"""99001233368780"""
156****7665,"""866935033732256"""
180****5074,"""A0000033124906"""
177****3685,"""865034038128578"""
153****7789,"""99000865269523"""
153****2296,"""867950046439996"""
133****3212,"""864320031782151"""
189****7067,"""863845033233994"""
133****5538,"""867499036624357"""
189****1193,"""865938037131179"""
189****9816,"""862490036051381"""
133****7003,"""A0000073A6A081"""
189****0294,"""A00000885E65D8"""
133****9523,"""99000967444764"""
181****6170,"""864566038950486"""
153****6517,"""866790039179279"""
137****0288,"""862632030826710"""
153****9197,"""863182036255034"""
189****1506,"""864044033082242"""
180****3060,"""863209037134288"""
183****0768,"""862341036113632"""
189****3568,"""865422038576443"""
135****2666,"""864621031149048"""
180****3276,"""99001026384093"""
133****7266,"""865175042560239"""
153****3695,"""864404041370635"""
180****5972,"""869829044394635"""
153****9421,"""868299037686150"""
133****6601,"""A00000694B7A26"""
153****7659,"""865334039458614"""
133****0751,"""866198033412227"""
181****1297,"""868146031349295"""
177****3811,"""99001026761098"""
199****9473,"""869315035075557"""
189****8163,"""A100004C1F5AF8"""
138****4388,"""867547033989205"""
177****2816,"""868144033099851"""
199****3375,"""358695073041803"""
153****3018,"""A0000087C134A7"""
133****6508,"""865586028473520"""
177****8999,"""A00000641B222E"""
189****2770,"""869233030107558"""
177****0160,"""866657035683374"""
189****1735,"""864129036296483"""
177****4871,"""864240033151355"""
177****2121,"""A0000088F391BF"""
153****3981,"""A100005FC7E21D"""
189****7991,"""862002035007429"""
133****4950,"""868860030727091"""
133****2596,"""863979038966843"""
180****0369,"""866568036088713"""
180****8149,"""A000008ADD6A76"""
153****5216,"""865664039504763"""
136****4080,"""864821038111583"""
199****0687,"""869932036319493"""
134****9398,"""865736030797081"""
153****6385,"""A000007571AE23"""
189****7897,"""863046033848952"""
189****9746,"""862820039945348"""
173****6053,"""A0000073160930"""
177****3683,"""865312024639604"""
189****1808,"""866052034306039"""
180****9342,"""869939038550116"""
133****1503,"""863507037756301"""
189****9930,"""866935035446038"""
173****0596,"""869751036972790"""
181****0705,"""357556062468319"""
153****9020,"""358811070929003"""
177****5383,"""866712039002913"""
153****9905,"""99001024030421"""
189****8452,"""99000854268199"""
177****6645,"""863603034173820"""
177****0801,"""A000008A4C22D1"""
180****7322,"""868452032690236"""
177****0934,"""357759083742742"""
189****7700,"""862209039487909"""
133****7607,"""867478033158312"""
189****6258,0
199****4583,"""869906026512895"""
189****7897,"""864178039134514"""
189****5051,"""863248034594318"""
173****5830,"""A000005E193CCA"""
153****9082,0
153****3050,"""862667030817640"""
189****1671,"""A1000056319CE2"""
189****1188,0
133****0236,0
189****3421,"""A000007818D5DE"""
180****2901,"""A00000885663EF"""
133****1497,"""355021060226328"""
199****2880,0
199****9397,"""863056036930913"""
173****1116,"""A100004DA5062D"""
153****4691,"""869259038624112"""
133****6500,0
133****5101,"""864128032785663"""
177****6287,"""869496038697371"""
133****0879,"""865175044320434"""
180****9487,"""A00000705D6A95"""
133****8399,0
183****1145,"""865214036448596"""
133****4912,0
173****4215,"""865216036187959"""
180****9929,0
177****4980,"""866370039996129"""
189****7119,"""869115034710232"""
133****8985,"""865227031649141"""
153****1629,"""867800020609199"""
180****6898,0
181****7758,"""867498032249797"""
133****6958,"""867685037244340"""
133****9918,"""354732085060200"""
188****7026,"""867635035156061"""
173****9825,"""862634032988191"""
189****5688,"""A000007326E6CC"""
177****6281,"""866504039578731"""
153****9005,"""a0000059b990f2"""
152****9087,0
153****7271,"""861873036854378"""
173****0722,"""863065035240968"""
173****6566,"""867008037531485"""
133****9484,"""865551034012571"""
133****2391,"""99001080310848"""
173****5208,"""867216031574373"""
180****1580,"""868453035678111"""
189****0436,"""A100003A3B3C4F"""
181****6571,"""866370032112013"""
189****1008,"""a0000059004c2d"""
180****6235,"""864590036783251"""
173****3552,"""868452038865337"""
153****7227,0
189****7962,0
189****1953,"""99001121094212"""
177****5080,0
133****5695,"""866445033545369"""
181****2893,"""A100004E1BFB9C"""
133****4389,0
180****6889,"""862268039294004"""
151****4689,"""A000008A99AB11"""
199****3336,"""A0000063ECC808"""
133****9927,"""869454032938093"""
133****1646,"""A000008D826E97"""
189****0612,0
180****5106,0
186****3182,"""A10000545266EC"""
153****1799,"""869464038026421"""
189****5301,"""867665045349190"""
189****6791,"""866909032414398"""
180****7423,"""864911037503334"""
180****3786,"""864454035148513"""
189****9561,"""99001203303964"""
189****3952,"""868971030257094"""
180****2003,"""869541022864931"""
177****5720,0
153****8217,0
199****7602,"""99001203450844"""
199****4272,"""867523017146856"""
199****9756,"""869082036061768"""
133****1759,"""35234408113090"""
189****6820,0
153****0527,0
133****6663,0
173****2393,0
133****1230,0
133****6279,"""868375031179374"""
180****3370,"""867229035418729"""
177****2017,"""865526030731192"""
133****5630,"""866149031261181"""
133****0980,"""862531033742777"""
153****0625,"""99000694190763"""
151****8200,"""864243030466453"""
199****7991,"""864314037796737"""
184****8047,"""863381041961202"""
181****3331,"""A0000087048433"""
180****7865,"""862387035504552"""
133****3879,"""861062033027689"""
153****0495,"""862155031963993"""
181****3527,"""864854036217185"""
180****1058,"""863272035712836"""
173****9393,"""865861047360895"""
189****9516,"""868894030502691"""
133****6421,"""861613031408774"""
137****0312,"""866413031352386"""
180****4817,"""868648032125525"""
153****3080,"""A0000085FA3DB0"""
177****8505,"""869940039309411"""
153****0625,"""352097090075607"""
189****3582,"""A100003A3B685F"""
189****5200,"""862561035770500"""
181****2353,"""867498038439079"""
181****2836,"""865176037596931"""
181****2724,"""99001237534093"""
189****5048,"""358522089622105"""
133****2331,0
189****2302,"""359274071580151"""
136****3321,"""865628039765476"""
181****0423,"""866413036108866"""
133****4940,"""99000711970174"""
189****8890,0
153****5966,"""866197036460050"""
189****9668,"""a0000055cf2b51"""
173****8077,"""869111043014393"""
153****3316,"""866049034084269"""
133****9676,"""866150033338605"""
180****1609,"""868612023549705"""
189****3853,"""866936032598904"""
133****1395,0
189****7978,0
153****0314,"""868063032217035"""
133****2705,0
188****9523,0
153****7256,0
181****5056,"""869774037770203"""
189****6248,"""864141032444918"""
180****3959,"""864101037480390"""
137****5010,"""864329033293638"""
133****3988,"""99000577627403"""
173****5309,"""865675039424976"""
189****5530,"""862965032131998"""
189****5312,"""869384036846317"""
153****1153,"""A000008D76B443"""
133****6503,0
153****1413,"""868920030126858"""
180****6653,0
189****1591,"""868217034424318"""
135****1818,"""862258031333298"""
133****1143,"""868752026626504"""
173****7853,"""86690603264300"""
189****0508,"""867300032968121"""
153****6240,"""869754031405196"""
189****9943,"""869874036706115"""
133****4380,0
153****4414,0
133****6795,"""866935033013210"""
183****8889,"""864176032077607"""
153****6306,"""862681030894970"""
180****9872,"""A00000596D0450"""
133****1624,"""99001140433602"""
177****6830,"""A00000556998D0"""
189****6431,0
189****7288,"""867011036465994"""
132****7881,"""867300039944588"""
177****6527,"""863445033987648"""
181****6679,"""A10000543813BC"""
180****1973,"""359583070156775"""
133****6818,"""865334032929819"""
173****6871,"""864278031446880"""
133****1061,"""864682031197726"""
180****7383,"""867439035818378"""
180****1113,"""869979033711552"""
153****7625,"""862380031000899"""
180****8081,"""869706030358230"""
139****3089,"""866239032226125"""
180****0100,"""A000007465AD72"""
133****3692,"""867541032916707"""
134****6437,"""864264027901575"""
181****0515,0
133****1281,"""359942073455263"""
153****2966,"""358530082338603"""
153****8216,"""867008039314666"""
153****7926,"""868235000100787"""
180****2266,"""869982036984846"""
159****2752,"""864467046400053"""
133****4545,0
133****3041,"""869545020979211"""
153****7916,"""99000869181780"""
173****7089,"""866049039295993"""
189****1102,"""866843038780223"""
189****0009,"""868990043395907"""
135****3252,"""865968038937027"""
133****1747,"""864769043614242"""
181****3049,"""863739033072728"""
199****2786,"""868090020455616"""
173****1763,"""a00000591a73b4"""
189****3125,"""864682037144532"""
153****8368,"""867014032283155"""
180****6786,"""A00000706891B6"""
133****1095,0
133****0336,"""867707020568442"""
153****0558,"""867349040894399"""
199****9546,"""868454033529835"""
173****5541,"""A1000058875C9E"""
153****1553,"""866318031910796"""
177****3864,"""A100004E592161"""
180****9572,"""869824034550684"""
173****2426,"""869454031591422"""
177****1435,"""864913034233386"""
158****2190,"""861646031281429"""
133****1240,"""863473030424860"""
158****5553,0
153****4398,"""869801031243307"""
173****7662,"""866174030402776"""
173****5513,"""869150032543111"""
187****0301,0
183****3230,"""868217031086698"""
181****9005,0
173****9737,0
133****1033,0
199****8873,"""A0000088608EF0"""
189****3759,0
178****1180,"""865959049993026"""
189****8659,"""862552039740037"""
180****0704,"""99001142029128"""
180****2638,"""863708038615898"""
133****6896,"""A000007314AB58"""
199****0136,"""869368030003892"""
138****3581,"""868375030294778"""
133****5880,"""A000006EBF2468"""
173****3739,"""865852040569400"""
177****6234,"""869498033566676"""
173****7023,"""869829042383853"""
133****5562,"""869741046826490"""
189****0578,"""863197031721657"""
153****7112,"""869515039914277"""
199****8929,"""866822039799143"""
189****8977,"""869455039126095"""
189****4116,"""99001080688515"""
181****0909,"""A0000061B17A25"""
189****7152,"""867262030662272"""
180****1337,"""866937033548310"""
181****0909,"""869477020401048"""
177****3488,0
180****4344,"""864552032547742"""
189****0382,"""861626030204507"""
199****2733,"""355546053879030"""
180****7867,"""869966035194937"""
180****5841,0
180****7325,"""A0000088341360"""
173****0284,"""864765035085342"""
130****2834,"""862142037232599"""
181****9688,"""866936033408129"""
189****3012,"""a0000059bcf0f3"""
189****4848,0
181****2269,0
177****4511,"""862183033224735"""
199****6243,"""869233034692233"""
133****9310,"""868464039061121"""
181****0627,"""861258036501593"""
173****0298,"""867752024617324"""
177****2479,0
189****2972,"""867476038826115"""
189****5288,0
177****1055,"""862828033613051"""
189****8008,"""a0000059ab4a82"""
153****0096,"""A00000893156BB"""
173****9747,"""863197033642653"""
153****4728,"""865727045404292"""
181****7662,"""866258031243345"""
199****1135,"""865411032100466"""
173****0867,"""865729031179334"""
199****2551,"""862975033766098"""
180****4323,"""867499036401459"""
153****7927,"""864621037510201"""
181****0251,"""864178036915105"""
153****6512,0
189****2710,"""862813030713153"""
181****0707,"""A000006412FF6B"""
189****5787,0
199****3238,"""A1000058FE9436"""
133****3529,"""A1000049281AD2"""
153****6610,"""A100004C6660DD"""
189****7339,"""862521032205082"""
181****3368,"""861010032965052"""
181****6793,0
186****8668,0
153****8950,"""864416038965235"""
189****5111,"""355905071836374"""
173****6030,"""864678035009545"""
180****5689,"""869171030153919"""
189****1965,"""865581039488971"""
177****0036,"""864550036159902"""
173****6350,"""861608049202375"""
181****7272,"""869402038998330"""
133****5966,"""864600036992131"""
133****9968,"""A0000074048F9C"""
133****9627,"""863952035908902"""
189****0666,"""a000005e338da1"""
177****3446,"""868903030361212"""
180****9722,"""865579036116058"""
181****5236,"""864291031912298"""
181****4473,"""99001217601061"""
189****6788,"""A0000064830042"""
177****2660,"""864778047311424"""
153****3739,"""869412038369333"""
153****7267,"""866149030765349"""
189****6622,"""865970031856766"""
199****3416,"""861443037699816"""
199****1158,"""868245033761141"""
181****8648,"""862681034243257"""
189****2072,"""865861043848570"""
181****5050,"""865970038755664"""
177****8428,"""99000920241308"""
153****6184,"""862814034948639"""
173****3857,"""867951036872436"""
133****4792,"""865044030403176"""
181****6650,"""A000008958BFD7"""
134****2624,"""869979031011039"""
189****7115,"""A0000087EA0197"""
189****6168,"""8026889E"""
199****4373,"""869739048992344"""
177****6527,"""a0000059b990f2"""
173****1502,"""866250038915827"""
177****5515,"""869011026807286"""
153****1589,0
180****3394,"""866937032202695"""
180****0523,"""867237034825521"""
189****9158,"""864684036990907"""
153****6925,0
133****8523,"""866932032090315"""
177****6168,"""A0000071632C4D"""
199****3813,"""867362041389012"""
177****3959,"""862813030372257"""
153****9606,"""865969036477412"""
189****1488,0
180****3334,"""866239032067289"""
133****5395,"""a0000059b9a393"""
180****1063,"""A0000072B1D8A9"""
